c0;c1;c2;c3
---Session;start;old0;
32140;12:00:00;25/12/2019;
34450;12:00:00;25/12/2019;
21100;12:00:00;25/12/2019;
28300;12:00:00;25/12/2019;
28640;12:00:00;25/12/2019;
30320;12:00:00;25/12/2019;
27640;12:00:00;25/12/2019;
37120;12:00:00;25/12/2019;
23610;12:00:00;25/12/2019;
31830;12:00:00;25/12/2019;
28480;12:00:00;25/12/2019;
30230;12:00:00;25/12/2019;
29340;12:00:00;25/12/2019;
34380;12:00:00;25/12/2019;
32180;12:00:00;25/12/2019;
27990;12:00:00;25/12/2019;
24130;12:00:00;25/12/2019;
31480;12:00:00;25/12/2019;
30540;12:00:00;25/12/2019;
30020;12:00:00;25/12/2019;
30210;12:00:00;25/12/2019;
33470;12:00:00;25/12/2019;
30520;12:00:00;25/12/2019;
21860;12:00:00;25/12/2019;
31050;12:00:00;25/12/2019;
28850;12:00:00;25/12/2019;
28790;12:00:00;25/12/2019;
25420;12:00:00;25/12/2019;
32730;12:00:00;25/12/2019;
41150;12:00:00;25/12/2019;
31350;12:00:00;25/12/2019;
34920;12:00:00;25/12/2019;
31560;12:00:00;25/12/2019;
29060;12:00:00;25/12/2019;
32210;12:00:00;25/12/2019;
37790;12:00:00;25/12/2019;
26930;12:00:00;25/12/2019;
28840;12:00:00;25/12/2019;
34510;12:00:00;25/12/2019;
33220;12:00:00;25/12/2019;
24370;12:00:00;25/12/2019;
31450;12:00:00;25/12/2019;
27740;12:00:00;25/12/2019;
31180;12:00:00;25/12/2019;
35380;12:00:00;25/12/2019;
25750;12:00:00;25/12/2019;
28850;12:00:00;25/12/2019;
25640;12:00:00;25/12/2019;
24360;12:00:00;25/12/2019;
28950;12:00:00;25/12/2019;
29540;12:00:00;25/12/2019;
32580;12:00:00;25/12/2019;
30420;12:00:00;25/12/2019;
24370;12:00:00;25/12/2019;
30340;12:00:00;25/12/2019;
33730;12:00:00;25/12/2019;
31530;12:00:00;25/12/2019;
33750;12:00:00;25/12/2019;
31600;12:00:00;25/12/2019;
29410;12:00:00;25/12/2019;
32810;12:00:00;25/12/2019;
27900;12:00:00;25/12/2019;
27850;12:00:00;25/12/2019;
30170;12:00:00;25/12/2019;
32420;12:00:00;25/12/2019;
34550;12:00:00;25/12/2019;
29780;12:00:00;25/12/2019;
36270;12:00:00;25/12/2019;
37690;12:00:00;25/12/2019;
26300;12:00:00;25/12/2019;
39510;12:00:00;25/12/2019;
24960;12:00:00;25/12/2019;
28600;12:00:00;25/12/2019;
29050;12:00:00;25/12/2019;
24170;12:00:00;25/12/2019;
26620;12:00:00;25/12/2019;
29010;12:00:00;25/12/2019;
49770;12:00:00;25/12/2019;
33000;12:00:00;25/12/2019;
40260;12:00:00;25/12/2019;
32610;12:00:00;25/12/2019;
25830;12:00:00;25/12/2019;
31480;12:00:00;25/12/2019;
---Session;end;old3;
---Session;start;old4;
23327;12:00:00;26/12/2019;
34211;12:00:00;26/12/2019;
34854;12:00:00;26/12/2019;
22792;12:00:00;26/12/2019;
29287;12:00:00;26/12/2019;
25727;12:00:00;26/12/2019;
34112;12:00:00;26/12/2019;
36423;12:00:00;26/12/2019;
26249;12:00:00;26/12/2019;
33980;12:00:00;26/12/2019;
32687;12:00:00;26/12/2019;
55349;12:00:00;26/12/2019;
32875;12:00:00;26/12/2019;
29122;12:00:00;26/12/2019;
38170;12:00:00;26/12/2019;
35243;12:00:00;26/12/2019;
29622;12:00:00;26/12/2019;
27175;12:00:00;26/12/2019;
35503;12:00:00;26/12/2019;
30254;12:00:00;26/12/2019;
31634;12:00:00;26/12/2019;
40197;12:00:00;26/12/2019;
28689;12:00:00;26/12/2019;
32057;12:00:00;26/12/2019;
29043;12:00:00;26/12/2019;
34668;12:00:00;26/12/2019;
22652;12:00:00;26/12/2019;
29527;12:00:00;26/12/2019;
26059;12:00:00;26/12/2019;
26756;12:00:00;26/12/2019;
31394;12:00:00;26/12/2019;
32442;12:00:00;26/12/2019;
29817;12:00:00;26/12/2019;
25766;12:00:00;26/12/2019;
20125;12:00:00;26/12/2019;
22917;12:00:00;26/12/2019;
30978;12:00:00;26/12/2019;
17627;12:00:00;26/12/2019;
33424;12:00:00;26/12/2019;
30254;12:00:00;26/12/2019;
29517;12:00:00;26/12/2019;
28203;12:00:00;26/12/2019;
27001;12:00:00;26/12/2019;
30736;12:00:00;26/12/2019;
22850;12:00:00;26/12/2019;
33268;12:00:00;26/12/2019;
29302;12:00:00;26/12/2019;
28810;12:00:00;26/12/2019;
32809;12:00:00;26/12/2019;
31452;12:00:00;26/12/2019;
29255;12:00:00;26/12/2019;
20563;12:00:00;26/12/2019;
26446;12:00:00;26/12/2019;
34705;12:00:00;26/12/2019;
27846;12:00:00;26/12/2019;
36561;12:00:00;26/12/2019;
29155;12:00:00;26/12/2019;
32125;12:00:00;26/12/2019;
27212;12:00:00;26/12/2019;
29444;12:00:00;26/12/2019;
29157;12:00:00;26/12/2019;
31119;12:00:00;26/12/2019;
28020;12:00:00;26/12/2019;
20014;12:00:00;26/12/2019;
25935;12:00:00;26/12/2019;
28077;12:00:00;26/12/2019;
27620;12:00:00;26/12/2019;
30662;12:00:00;26/12/2019;
24082;12:00:00;26/12/2019;
28142;12:00:00;26/12/2019;
23791;12:00:00;26/12/2019;
36257;12:00:00;26/12/2019;
32458;12:00:00;26/12/2019;
26605;12:00:00;26/12/2019;
48798;12:00:00;26/12/2019;
32328;12:00:00;26/12/2019;
38061;12:00:00;26/12/2019;
39674;12:00:00;26/12/2019;
33017;12:00:00;26/12/2019;
31761;12:00:00;26/12/2019;
24664;12:00:00;26/12/2019;
27311;12:00:00;26/12/2019;
25616;12:00:00;26/12/2019;
29515;12:00:00;26/12/2019;
29656;12:00:00;26/12/2019;
30005;12:00:00;26/12/2019;
33620;12:00:00;26/12/2019;
34234;12:00:00;26/12/2019;
27852;12:00:00;26/12/2019;
26539;12:00:00;26/12/2019;
29765;12:00:00;26/12/2019;
27817;12:00:00;26/12/2019;
31641;12:00:00;26/12/2019;
31958;12:00:00;26/12/2019;
25965;12:00:00;26/12/2019;
23245;12:00:00;26/12/2019;
26857;12:00:00;26/12/2019;
31315;12:00:00;26/12/2019;
30901;12:00:00;26/12/2019;
26902;12:00:00;26/12/2019;
---Session;end;old4;
---Session;start;old5;
25522;12:00:00;08/01/2020;
28505;12:00:00;08/01/2020;
24263;12:00:00;08/01/2020;
33309;12:00:00;08/01/2020;
25768;12:00:00;08/01/2020;
29002;12:00:00;08/01/2020;
26490;12:00:00;08/01/2020;
32236;12:00:00;08/01/2020;
27224;12:00:00;08/01/2020;
26802;12:00:00;08/01/2020;
22508;12:00:00;08/01/2020;
47574;12:00:00;08/01/2020;
37414;12:00:00;08/01/2020;
21513;12:00:00;08/01/2020;
31888;12:00:00;08/01/2020;
23060;12:00:00;08/01/2020;
25315;12:00:00;08/01/2020;
30257;12:00:00;08/01/2020;
29003;12:00:00;08/01/2020;
25323;12:00:00;08/01/2020;
25549;12:00:00;08/01/2020;
26317;12:00:00;08/01/2020;
30758;12:00:00;08/01/2020;
42347;12:00:00;08/01/2020;
30398;12:00:00;08/01/2020;
39593;12:00:00;08/01/2020;
28028;12:00:00;08/01/2020;
24126;12:00:00;08/01/2020;
26624;12:00:00;08/01/2020;
33539;12:00:00;08/01/2020;
26911;12:00:00;08/01/2020;
31536;12:00:00;08/01/2020;
31348;12:00:00;08/01/2020;
31572;12:00:00;08/01/2020;
22389;12:00:00;08/01/2020;
31594;12:00:00;08/01/2020;
24771;12:00:00;08/01/2020;
30154;12:00:00;08/01/2020;
25616;12:00:00;08/01/2020;
33568;12:00:00;08/01/2020;
35602;12:00:00;08/01/2020;
34487;12:00:00;08/01/2020;
28613;12:00:00;08/01/2020;
29257;12:00:00;08/01/2020;
29452;12:00:00;08/01/2020;
24099;12:00:00;08/01/2020;
22298;12:00:00;08/01/2020;
28799;12:00:00;08/01/2020;
29901;12:00:00;08/01/2020;
23641;12:00:00;08/01/2020;
28279;12:00:00;08/01/2020;
25600;12:00:00;08/01/2020;
21091;12:00:00;08/01/2020;
26343;12:00:00;08/01/2020;
25477;12:00:00;08/01/2020;
28642;12:00:00;08/01/2020;
24216;12:00:00;08/01/2020;
25819;12:00:00;08/01/2020;
21007;12:00:00;08/01/2020;
35291;12:00:00;08/01/2020;
26695;12:00:00;08/01/2020;
32219;12:00:00;08/01/2020;
33240;12:00:00;08/01/2020;
28436;12:00:00;08/01/2020;
28495;12:00:00;08/01/2020;
27936;12:00:00;08/01/2020;
21800;12:00:00;08/01/2020;
29965;12:00:00;08/01/2020;
28337;12:00:00;08/01/2020;
33239;12:00:00;08/01/2020;
32637;12:00:00;08/01/2020;
