Solvetime;Time of day;Date;Scramble;Penalty
85850;22:32:00;31/03/2020;R B' L' B' D2 L2 F L' D' R U2 D2 B2 R2 U2 D2 R' L';
68914;22:35:00;31/03/2020;R F2 L' F2 U2 L D2 F2 R2 B' L B2 U' R2 F D' F L2 R;
85973;22:39:00;31/03/2020;L2 F R' U B2 U L D2 F B U D2 R2 U F2 U L2 U R2 D2;
75354;22:43:00;31/03/2020;D2 B' D2 B R2 F R2 F U L' F D' L' B D' F2 U2 F2 U2;
74446;22:46:00;31/03/2020;U' B2 L B D' F2 B L D2 F' B2 U L2 U R2 D2 L2 B2 U2 B2;
70817;22:48:00;31/03/2020;F2 U' R D R2 F U' R' F B2 L B D2 F2 B R2 F B D2;
79836;22:54:00;31/03/2020;B2 D2 B2 L' B2 R2 F2 R U F D U2 B L2 F L2 D' U2 L;
88867;22:57:00;31/03/2020;L' D2 L' F2 R B2 L2 U2 L2 F' L F2 R' U' B' R U' L2 F';
99890;23:00:00;31/03/2020;L2 D' R2 L U L' F' U' L B D2 R2 F2 U2 B2 D F2 R2 F2 B2;
77110;23:04:00;31/03/2020;U2 R2 U2 L2 B' R2 B' D2 F2 U2 R' D B L' F' D' L D' U L;
83667;23:07:00;31/03/2020;L2 B2 U2 R' D2 L' B2 D2 F2 R' B D' F L R B' R' B2 L;
---Session;end;s7;;
